order_id,product_name,category,price,quantity,order_date,customer_region,payment_method
1001,Console ProStation,Consoles,1794.45,2,2023-10-19,Nordeste,Boleto
1002,Smart TV Curved 8K,TVs,5406.86,1,2023-11-19,Norte,Paypal
1003,Headphone Max,Headphones,7306.73,1,2023-03-16,Norte,Cartão
1004,Notebook Gamma,Notebooks,4790.15,1,2023-08-24,Nordeste,Pix
1005,Smart TV Ultra 4K,TVs,576.69,5,2023-04-07,Centro-Oeste,Boleto
1006,Smartphone X2,Smartphones,5401.94,5,2023-03-20,Nordeste,Pix
1007,Smartphone X2,Smartphones,6156.35,5,2023-01-26,Sul,Pix
1008,Console ProStation,Consoles,1721.77,4,2023-02-16,Norte,Paypal
1009,Smart TV Curved 8K,TVs,6110.9,3,2023-08-26,Sudeste,Cartão
1010,Smart TV Ultra 4K,TVs,1504.13,2,2023-08-02,Sudeste,Paypal
1011,Notebook Beta,Notebooks,5256.31,3,2023-12-20,Nordeste,Boleto
1012,Smart TV Curved 8K,TVs,737.19,4,2023-07-11,Nordeste,Paypal
1013,Console GameBox,Consoles,1992.44,2,2023-08-04,Nordeste,Pix
1014,Console GameBox,Consoles,4400.31,2,2023-03-26,Sul,Paypal
1015,Impressora Laser 700,Impressoras,3884.02,2,2023-11-28,Centro-Oeste,Boleto
1016,Notebook Alpha,Notebooks,6105.24,3,2023-06-09,Sul,Cartão
1017,Smart TV Curved 8K,TVs,7555.95,2,2023-05-19,Nordeste,Boleto
1018,Notebook Beta,Notebooks,605.2,4,2023-02-08,Nordeste,Paypal
1019,Console GameBox,Consoles,3753.36,2,2023-07-19,Sul,Pix
1020,Notebook Beta,Notebooks,7877.34,2,2023-05-25,Centro-Oeste,Cartão
1021,Notebook Beta,Notebooks,4383.94,2,2023-09-06,Sudeste,Paypal
1022,Smartphone X2,Smartphones,3149.58,2,2023-06-02,Sul,Paypal
1023,Notebook Gamma,Notebooks,6683.69,1,2023-04-26,Centro-Oeste,Cartão
1024,Impressora Laser 700,Impressoras,1021.57,5,2023-07-14,Nordeste,Cartão
1025,Console ProStation,Consoles,2426.01,5,2023-10-02,Centro-Oeste,Paypal
1026,Smart TV Ultra 4K,TVs,7586.65,3,2023-07-21,Norte,Cartão
1027,Notebook Beta,Notebooks,2713.95,4,2023-04-08,Nordeste,Boleto
1028,Impressora Laser 700,Impressoras,3128.3,1,2023-02-19,Centro-Oeste,Boleto
1029,Impressora Laser 700,Impressoras,782.86,3,2023-05-31,Sudeste,Paypal
1030,Smartphone Z1,Smartphones,4168.39,1,2023-02-13,Norte,Cartão
1031,Smartphone X2,Smartphones,7115.92,2,2023-11-14,Norte,Cartão
1032,Smartphone X2,Smartphones,2652.34,2,2023-10-28,Nordeste,Boleto
1033,Headphone Max,Headphones,1162.49,1,2023-08-20,Norte,Pix
1034,Smartphone Y3,Smartphones,7949.04,3,2023-06-26,Centro-Oeste,Cartão
1035,Impressora Jet 500,Impressoras,1519.29,5,2023-01-27,Norte,Paypal
1036,Console GameBox,Consoles,5407.67,5,2023-10-19,Sudeste,Paypal
1037,Smartphone X2,Smartphones,5147.94,1,2023-09-19,Sul,Pix
1038,Smartphone Y3,Smartphones,5924.66,3,2023-10-25,Centro-Oeste,Boleto
1039,Impressora Jet 500,Impressoras,582.66,1,2023-05-22,Centro-Oeste,Paypal
1040,Console ProStation,Consoles,6059.56,1,2023-07-11,Centro-Oeste,Cartão
1041,Notebook Gamma,Notebooks,4423.91,2,2023-08-30,Norte,Cartão
1042,Smart TV Curved 8K,TVs,2931.12,1,2023-07-10,Centro-Oeste,Boleto
1043,Smartphone Z1,Smartphones,941.23,3,2023-04-09,Nordeste,Boleto
1044,Console ProStation,Consoles,935.86,4,2023-08-02,Centro-Oeste,Paypal
1045,Headphone Max,Headphones,826.39,5,2023-03-23,Sudeste,Cartão
1046,Notebook Gamma,Notebooks,4053.1,3,2023-10-07,Norte,Pix
1047,Impressora Laser 700,Impressoras,3047.77,2,2023-11-30,Sudeste,Cartão
1048,Console ProStation,Consoles,1455.3,1,2023-12-19,Nordeste,Pix
1049,Notebook Alpha,Notebooks,459.1,2,2023-08-16,Norte,Boleto
1050,Headphone Lite,Headphones,394.74,2,2023-07-07,Nordeste,Pix
1051,Impressora Laser 700,Impressoras,4315.31,4,2023-10-11,Sudeste,Boleto
1052,Notebook Beta,Notebooks,322.2,4,2023-01-09,Sul,Boleto
1053,Console GameBox,Consoles,758.64,4,2023-01-07,Norte,Cartão
1054,Headphone Lite,Headphones,2495.26,3,2023-09-12,Sul,Paypal
1055,Notebook Gamma,Notebooks,2111.1,1,2023-09-24,Centro-Oeste,Cartão
1056,Notebook Gamma,Notebooks,3980.41,3,2023-03-22,Norte,Cartão
1057,Headphone Lite,Headphones,4694.13,2,2023-07-02,Nordeste,Boleto
1058,Smartphone Z1,Smartphones,439.25,1,2023-06-13,Nordeste,Pix
1059,Smart TV Ultra 4K,TVs,2540.45,2,2023-12-08,Norte,Cartão
1060,Headphone Lite,Headphones,4438.8,3,2023-07-02,Sudeste,Pix
1061,Impressora Jet 500,Impressoras,5623.23,1,2023-07-13,Nordeste,Pix
1062,Headphone Lite,Headphones,3861.76,1,2023-10-31,Sudeste,Boleto
1063,Smartphone Z1,Smartphones,6192.88,1,2023-06-07,Sudeste,Paypal
1064,Notebook Beta,Notebooks,5489.69,4,2023-10-09,Nordeste,Paypal
1065,Impressora Laser 700,Impressoras,901.97,2,2023-08-12,Sudeste,Paypal
1066,Smartphone X2,Smartphones,7594.56,4,2023-08-08,Centro-Oeste,Cartão
1067,Console GameBox,Consoles,6093.1,4,2023-01-15,Centro-Oeste,Paypal
1068,Impressora Jet 500,Impressoras,3076.47,1,2023-01-25,Sul,Boleto
1069,Headphone Lite,Headphones,1230.06,5,2023-11-16,Centro-Oeste,Boleto
1070,Impressora Jet 500,Impressoras,2791.46,3,2023-10-31,Sul,Pix
1071,Smartphone Y3,Smartphones,2964.73,3,2023-04-01,Nordeste,Pix
1072,Smart TV Ultra 4K,TVs,6908.65,2,2023-05-26,Nordeste,Boleto
1073,Smartphone X2,Smartphones,6332.04,2,2023-12-16,Sudeste,Paypal
1074,Headphone Max,Headphones,6551.39,1,2023-01-02,Norte,Pix
1075,Console ProStation,Consoles,1070.33,1,2023-09-09,Norte,Paypal
1076,Smart TV Ultra 4K,TVs,3266.51,3,2023-04-09,Nordeste,Cartão
1077,Smartphone Y3,Smartphones,5122.23,1,2023-03-20,Centro-Oeste,Pix
1078,Notebook Gamma,Notebooks,5249.84,2,2023-10-14,Sudeste,Paypal
1079,Smartphone X2,Smartphones,5759.76,5,2023-05-30,Sudeste,Boleto
1080,Notebook Gamma,Notebooks,2609.24,3,2023-04-23,Norte,Cartão
1081,Notebook Alpha,Notebooks,1080.25,4,2023-05-03,Centro-Oeste,Paypal
1082,Smartphone Y3,Smartphones,5645.12,4,2023-01-21,Norte,Pix
1083,Smart TV Curved 8K,TVs,7825.24,1,2023-05-10,Sul,Boleto
1084,Notebook Beta,Notebooks,4183.99,1,2023-03-26,Sul,Pix
1085,Smartphone Y3,Smartphones,4639.05,1,2023-08-22,Centro-Oeste,Pix
1086,Console ProStation,Consoles,6476.51,3,2023-01-04,Sudeste,Paypal
1087,Smart TV Curved 8K,TVs,5743.33,4,2023-01-31,Sul,Boleto
1088,Headphone Max,Headphones,103.78,4,2023-12-12,Sudeste,Pix
1089,Smart TV Curved 8K,TVs,5958.48,2,2023-10-20,Nordeste,Boleto
1090,Impressora Laser 700,Impressoras,3413.93,2,2023-06-27,Nordeste,Pix
1091,Console ProStation,Consoles,1497.87,1,2023-08-11,Sudeste,Pix
1092,Impressora Laser 700,Impressoras,7646.35,4,2023-07-13,Centro-Oeste,Boleto
1093,Notebook Alpha,Notebooks,7081.38,4,2023-08-31,Sul,Boleto
1094,Smart TV Curved 8K,TVs,4001.31,5,2023-12-09,Centro-Oeste,Pix
1095,Smartphone Z1,Smartphones,2340.64,2,2023-02-05,Nordeste,Boleto
1096,Smartphone Y3,Smartphones,1151.68,3,2023-02-09,Nordeste,Pix
1097,Smartphone Y3,Smartphones,5349.56,5,2023-03-08,Nordeste,Cartão
1098,Smartphone Z1,Smartphones,6940.76,3,2023-11-23,Nordeste,Cartão
1099,Headphone Max,Headphones,6679.43,1,2023-12-09,Nordeste,Cartão
1100,Headphone Max,Headphones,7708.22,2,2023-07-03,Sul,Paypal
1101,Impressora Laser 700,Impressoras,6763.34,1,2023-04-14,Norte,Paypal
1102,Notebook Alpha,Notebooks,6198.5,1,2023-04-14,Nordeste,Pix
1103,Impressora Laser 700,Impressoras,2597.22,2,2023-11-08,Sul,Boleto
1104,Notebook Gamma,Notebooks,2061.72,1,2023-03-09,Norte,Pix
1105,Impressora Laser 700,Impressoras,4386.36,1,2023-02-04,Norte,Boleto
1106,Headphone Max,Headphones,5170.47,4,2023-08-23,Sul,Boleto
1107,Notebook Gamma,Notebooks,5617.67,1,2023-11-28,Nordeste,Cartão
1108,Impressora Jet 500,Impressoras,1426.46,5,2023-03-29,Sul,Cartão
1109,Impressora Laser 700,Impressoras,824.21,4,2023-05-16,Nordeste,Boleto
1110,Notebook Alpha,Notebooks,3552.62,4,2023-06-11,Sudeste,Pix
1111,Impressora Laser 700,Impressoras,596.82,5,2023-05-30,Sul,Boleto
1112,Headphone Max,Headphones,2518.26,5,2023-09-07,Sudeste,Pix
1113,Smartphone X2,Smartphones,2324.52,1,2023-06-08,Centro-Oeste,Pix
1114,Console GameBox,Consoles,7137.32,4,2023-02-08,Centro-Oeste,Cartão
1115,Notebook Gamma,Notebooks,6488.86,3,2023-11-04,Sudeste,Cartão
1116,Impressora Laser 700,Impressoras,7842.11,4,2023-09-01,Sul,Cartão
1117,Impressora Laser 700,Impressoras,3998.61,3,2023-06-29,Sudeste,Boleto
1118,Console ProStation,Consoles,3701.94,2,2023-06-07,Nordeste,Paypal
1119,Console ProStation,Consoles,3505.4,5,2023-01-04,Norte,Paypal
1120,Smartphone X2,Smartphones,3200.73,2,2023-03-06,Sudeste,Cartão
1121,Console ProStation,Consoles,1481.71,3,2023-05-28,Nordeste,Paypal
1122,Notebook Gamma,Notebooks,6984.74,3,2023-04-27,Nordeste,Paypal
1123,Smartphone X2,Smartphones,2284.4,2,2023-01-11,Nordeste,Boleto
1124,Headphone Lite,Headphones,1188.25,4,2023-10-02,Sudeste,Paypal
1125,Smartphone Z1,Smartphones,6051.61,5,2023-10-26,Centro-Oeste,Pix
1126,Headphone Lite,Headphones,2273.23,1,2023-01-15,Sul,Pix
1127,Notebook Beta,Notebooks,5836.46,2,2023-04-05,Nordeste,Pix
1128,Smartphone Z1,Smartphones,2936.29,3,2023-01-07,Nordeste,Pix
1129,Notebook Gamma,Notebooks,3143.51,3,2023-06-20,Centro-Oeste,Boleto
1130,Notebook Alpha,Notebooks,4876.28,1,2023-06-26,Norte,Pix
1131,Impressora Jet 500,Impressoras,4953.24,4,2023-07-16,Sul,Pix
1132,Smart TV Ultra 4K,TVs,6036.27,5,2023-08-26,Centro-Oeste,Boleto
1133,Smart TV Curved 8K,TVs,3144.73,4,2023-02-09,Nordeste,Pix
1134,Console GameBox,Consoles,3106.24,2,2023-02-26,Centro-Oeste,Cartão
1135,Impressora Jet 500,Impressoras,215.56,1,2023-02-14,Nordeste,Pix
1136,Console GameBox,Consoles,1135.67,4,2023-02-18,Nordeste,Boleto
1137,Smart TV Curved 8K,TVs,685.92,5,2023-10-04,Sul,Pix
1138,Smartphone Z1,Smartphones,7147.09,1,2023-05-25,Sul,Pix
1139,Smart TV Curved 8K,TVs,4249.93,3,2023-11-20,Sul,Pix
1140,Smart TV Curved 8K,TVs,7656.32,4,2023-12-27,Sul,Paypal
1141,Headphone Max,Headphones,4264.16,1,2023-01-08,Sul,Pix
1142,Smart TV Ultra 4K,TVs,6849.51,1,2023-02-26,Centro-Oeste,Cartão
1143,Impressora Jet 500,Impressoras,4068.53,3,2023-02-18,Norte,Boleto
1144,Impressora Laser 700,Impressoras,6230.19,4,2023-12-29,Sudeste,Pix
1145,Impressora Laser 700,Impressoras,777.39,2,2023-10-27,Sul,Pix
1146,Headphone Max,Headphones,1256.34,4,2023-04-20,Norte,Cartão
1147,Notebook Alpha,Notebooks,922.63,2,2023-05-11,Sul,Boleto
1148,Smart TV Curved 8K,TVs,7399.37,5,2023-04-15,Sul,Pix
1149,Smart TV Ultra 4K,TVs,5635.98,4,2023-06-30,Sudeste,Cartão
1150,Console GameBox,Consoles,3738.37,5,2023-09-25,Sudeste,Cartão
1151,Console GameBox,Consoles,4652.95,3,2023-10-25,Centro-Oeste,Pix
1152,Notebook Alpha,Notebooks,3215.07,3,2023-09-27,Sudeste,Paypal
1153,Smart TV Curved 8K,TVs,5233.91,2,2023-01-24,Centro-Oeste,Boleto
1154,Notebook Alpha,Notebooks,6185.75,5,2023-10-28,Nordeste,Pix
1155,Console ProStation,Consoles,2312.7,2,2023-01-13,Sul,Boleto
1156,Console GameBox,Consoles,4899.22,3,2023-02-14,Sudeste,Pix
1157,Smart TV Curved 8K,TVs,3267.36,1,2023-07-12,Sudeste,Pix
1158,Headphone Lite,Headphones,5441.26,5,2023-03-14,Nordeste,Boleto
1159,Console ProStation,Consoles,3902.58,4,2023-02-01,Norte,Boleto
1160,Impressora Jet 500,Impressoras,3911.89,4,2023-03-11,Sudeste,Cartão
1161,Smartphone Z1,Smartphones,6988.14,4,2023-06-19,Sul,Boleto
1162,Console GameBox,Consoles,137.46,2,2023-03-06,Nordeste,Cartão
1163,Notebook Gamma,Notebooks,4272.53,1,2023-06-02,Sul,Cartão
1164,Console ProStation,Consoles,3078.47,5,2023-12-19,Sul,Cartão
1165,Smart TV Curved 8K,TVs,6300.83,4,2023-08-21,Norte,Pix
1166,Notebook Beta,Notebooks,6563.74,1,2023-12-05,Nordeste,Pix
1167,Impressora Jet 500,Impressoras,7321.38,3,2023-11-16,Centro-Oeste,Boleto
1168,Console ProStation,Consoles,3070.4,2,2023-04-02,Centro-Oeste,Boleto
1169,Notebook Gamma,Notebooks,4662.75,4,2023-05-09,Nordeste,Cartão
1170,Smartphone Y3,Smartphones,5707.05,4,2023-12-10,Sudeste,Pix
1171,Notebook Gamma,Notebooks,3490.4,1,2023-08-27,Nordeste,Cartão
